file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,is_blob_class,is_spaghetti_code,is_swiss_army_knife
/work/./src/org/apache/xerces/parsers/SecuritySupport.java,org.apache.xerces.parsers.SecuritySupport$Anonymous6,anonymous,0,0,0,0,2,1,0,2,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,1,0,0,0,0,2,0,1,1,0,0,0,8,-1,0,False,False,False
/work/./src/org/apache/xerces/parsers/DOMParserImpl.java,org.apache.xerces.parsers.DOMParserImpl,class,31,33,2,31,195,4,1,49,184,0.8968254,0.06842105,0.110526316,21,0,19,1,0,1,20,0,0,0,18,9,0,6,12,0,9,0,10,720,48,2,32,10,22,24,5,82,24,44,7,0,1,0,278,1,0,True,False,False
/work/./src/org/apache/xerces/dom/DeferredNode.java,org.apache.xerces.dom.DeferredNode,interface,1,15,14,1,1,1,0,0,0,1.0,,,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,19,1,0,False,False,False
/work/./src/org/apache/xerces/parsers/SecuritySupport.java,org.apache.xerces.parsers.SecuritySupport$Anonymous7,anonymous,0,0,0,0,1,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0,False,False,False
/work/./src/org/apache/xerces/impl/dtd/XMLDTDDescription.java,org.apache.xerces.impl.dtd.XMLDTDDescription,class,6,14,8,6,31,2,0,13,0,0.33333334,0.5555556,0.5833333,9,0,9,0,0,0,9,0,0,0,2,0,0,0,2,0,0,0,0,80,17,1,12,0,3,0,2,16,0,6,4,0,0,0,104,1,0,False,False,False
/work/./src/org/apache/xerces/parsers/SecuritySupport.java,org.apache.xerces.parsers.SecuritySupport$Anonymous8,anonymous,0,0,0,0,1,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0,False,False,False
/work/./src/org/apache/xml/serialize/HTMLSerializer.java,org.apache.xml.serialize.HTMLSerializer,class,15,18,3,15,156,2,1,62,119,0.7962963,0.11111111,0.13725491,18,0,12,0,6,0,18,0,0,0,3,1,1,2,0,0,1,0,14,442,3,5,43,4,11,53,14,72,1,33,7,0,0,0,239,1,0,False,False,False
/work/./src/org/apache/xerces/impl/xs/util/XSGrammarPool.java,org.apache.xerces.impl.xs.util.XSGrammarPool,class,4,6,2,4,6,2,2,5,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,2,3,2,0,0,0,3,8,0,6,3,0,0,0,35,1,0,False,False,False
/work/./src/org/apache/xerces/parsers/SecuritySupport.java,org.apache.xerces.parsers.SecuritySupport$Anonymous2,anonymous,0,0,0,0,2,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,1,0,0,0,2,0,1,1,0,0,0,9,-1,0,False,False,False
/work/./src/org/apache/xerces/parsers/SecuritySupport.java,org.apache.xerces.parsers.SecuritySupport$Anonymous3,anonymous,0,0,0,0,3,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,1,1,0,0,2,0,1,1,0,0,0,10,-1,0,False,False,False
/work/./src/org/apache/xerces/parsers/SecuritySupport.java,org.apache.xerces.parsers.SecuritySupport$Anonymous4,anonymous,0,0,0,0,1,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,False,False,False
/work/./src/org/apache/xerces/parsers/SecuritySupport.java,org.apache.xerces.parsers.SecuritySupport$Anonymous5,anonymous,0,0,0,0,1,1,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0,False,False,False
/work/./src/org/apache/xerces/impl/dv/xs/XSSimpleTypeDecl.java,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$Anonymous3,anonymous,2,2,0,2,10,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,6,1,3,0,2,0,3,1,0,1,2,0,0,0,16,-1,0,False,False,False
/work/./src/org/apache/xerces/jaxp/UnparsedEntityHandler.java,org.apache.xerces.jaxp.UnparsedEntityHandler,class,9,11,2,9,51,1,0,25,0,0.73148143,0.66951567,0.7891738,27,0,26,0,0,1,27,0,0,0,4,0,0,4,0,0,1,0,0,138,5,0,23,0,0,0,0,5,0,4,1,0,0,0,81,16,0,False,False,False
/work/./src/org/apache/xerces/impl/dv/xs/XSSimpleTypeDecl.java,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$Anonymous4,anonymous,0,0,0,0,11,1,0,1,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,26,-1,0,False,False,False
/work/./src/org/apache/xerces/parsers/AbstractSAXParser.java,org.apache.xerces.parsers.AbstractSAXParser$AttributesProxy,innerclass,4,4,0,4,32,1,0,14,0,0.0,1.0,1.0,20,0,20,0,0,0,20,0,0,0,1,0,0,0,1,0,0,0,0,86,19,0,5,0,0,4,6,6,0,6,1,0,0,0,40,28,0,False,False,False
/work/./src/org/apache/xerces/dom/ObjectFactory.java,org.apache.xerces.dom.ObjectFactory,class,3,7,4,3,58,3,0,30,9,0.7714286,0.1,0.1,7,7,0,2,0,5,5,0,0,0,5,5,0,5,0,0,3,0,22,255,14,2,21,11,2,24,8,67,12,36,6,0,1,0,205,16,0,False,False,False
/work/./src/org/apache/xerces/dom/DeferredAttrImpl.java,org.apache.xerces.dom.DeferredAttrImpl,class,4,5,1,4,6,3,0,10,0,0.5,1.0,1.0,4,0,1,0,2,1,4,0,0,0,2,1,0,0,1,1,1,0,0,27,1,0,2,0,2,0,3,8,0,6,0,0,0,0,180,17,0,False,False,False
/work/./src/org/apache/xerces/impl/XMLScanner.java,org.apache.xerces.impl.XMLScanner,class,15,30,15,15,239,1,2,69,243,0.92020196,0.20689656,0.3768473,30,0,7,1,22,0,29,0,0,0,33,16,0,4,29,0,16,0,28,802,25,12,87,5,13,110,39,158,28,97,9,0,0,0,364,1025,0,True,False,False
/work/./src/org/apache/xerces/xs/XSAttributeDeclaration.java,org.apache.xerces.xs.XSAttributeDeclaration,interface,5,14,9,5,9,1,0,0,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1,0,False,False,False
/work/./src/org/apache/xerces/impl/xpath/regex/Op.java,org.apache.xerces.impl.xpath.regex.Op$CharOp,innerclass,1,1,0,1,2,2,0,0,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,8,0,False,False,False
/work/./src/org/apache/xerces/impl/xpath/regex/RegularExpression.java,org.apache.xerces.impl.xpath.regex.RegularExpression$Context,innerclass,4,4,0,4,8,1,0,1,0,0.66666675,0.5,0.5,5,0,0,1,0,4,4,0,0,0,9,0,0,0,0,9,0,0,0,38,0,1,2,0,0,0,2,16,1,10,1,0,0,0,22,24,0,False,False,False
/work/./src/org/apache/xerces/impl/XMLEntityScanner.java,org.apache.xerces.impl.XMLEntityScanner,class,12,30,18,12,284,1,1,38,0,0.74761903,0.80689657,0.80689657,30,0,29,0,0,1,30,0,1,0,7,2,0,3,4,0,2,0,77,1068,57,18,115,0,26,122,135,218,105,83,5,0,0,0,336,1,0,False,False,False
/work/./src/org/apache/wml/dom/WMLOptionElementImpl.java,org.apache.wml.dom.WMLOptionElementImpl,class,4,5,1,4,13,6,0,2,78,1.0,0.0,0.0,13,0,13,0,0,0,13,0,0,0,1,1,0,1,0,0,1,0,0,42,6,0,0,0,0,12,1,1,0,1,0,0,0,0,32,1,0,False,False,False
/work/./src/org/apache/xerces/impl/xs/traversers/XSDAbstractParticleTraverser.java,org.apache.xerces.impl.xs.traversers.XSDAbstractParticleTraverser$ParticleArray,innerclass,2,2,0,2,8,1,0,1,0,0.16666667,1.0,1.0,4,0,0,0,0,4,4,0,0,0,3,0,0,0,0,3,0,0,3,38,2,1,3,0,0,0,16,16,9,10,2,0,0,0,21,12,0,False,False,False
/work/./src/org/apache/xerces/impl/dv/SecuritySupport.java,org.apache.xerces.impl.dv.SecuritySupport,class,1,3,2,1,11,1,0,5,45,0.9,0.0,0.0,10,1,0,1,0,9,9,0,0,0,1,1,0,1,0,0,1,0,8,102,9,0,0,1,2,0,0,1,0,1,1,8,0,0,54,16,0,False,False,False
/work/./src/org/apache/xerces/impl/xs/util/StringListImpl.java,org.apache.xerces.impl.xs.util.StringListImpl,class,1,9,8,1,15,1,0,4,0,0.45,1.0,1.0,5,0,5,0,0,0,5,0,0,0,4,1,1,3,0,0,1,0,0,49,8,2,5,0,1,0,5,9,0,6,3,1,0,0,63,1,0,False,False,False
/work/./src/org/apache/xerces/parsers/XMLParser.java,org.apache.xerces.parsers.XMLParser,class,3,6,3,3,3,1,2,3,1,0.75,0.33333334,0.33333334,3,0,1,0,2,0,3,0,0,0,4,3,0,1,3,0,3,0,0,16,0,0,0,0,0,0,0,4,2,4,0,0,0,0,67,1025,0,False,False,False
/work/./src/org/apache/xerces/impl/dv/xs/XSSimpleTypeDecl.java,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$XSFacetImpl,innerclass,3,3,0,3,9,1,0,0,28,0.7777778,0.11111111,0.2777778,9,0,9,0,0,0,9,0,0,0,4,0,0,0,0,4,4,0,0,36,8,0,0,0,0,0,0,4,0,4,0,0,0,0,19,26,0,False,False,False
/work/./src/org/apache/xerces/impl/dv/xs/XSSimpleTypeDecl.java,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$Anonymous1,anonymous,0,0,0,0,11,1,0,1,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,26,-1,0,False,False,False
/work/./src/org/apache/xerces/impl/dv/xs/XSSimpleTypeDecl.java,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$Anonymous2,anonymous,1,1,0,1,7,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,2,0,2,0,2,0,0,0,1,0,0,0,9,-1,0,False,False,False
/work/./src/org/apache/xerces/impl/XMLEntityDescription.java,org.apache.xerces.impl.XMLEntityDescription,interface,1,3,2,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,False,False,False
/work/./src/org/apache/xerces/dom/PSVIDocumentImpl.java,org.apache.xerces.dom.PSVIDocumentImpl,class,13,17,4,13,11,6,0,6,55,1.0,0.0,0.0,11,0,9,2,0,0,9,0,0,0,1,1,0,0,0,1,1,0,1,41,7,0,0,0,0,0,1,3,0,2,0,0,0,0,130,1,0,False,False,False
/work/./src/org/apache/xerces/util/DefaultErrorHandler.java,org.apache.xerces.util.DefaultErrorHandler,class,3,8,5,3,8,1,0,12,13,0.6666667,0.0,0.0,6,0,5,1,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,38,0,0,2,0,0,6,2,4,1,3,2,0,0,0,41,1,0,False,False,False
/work/./src/org/apache/xerces/impl/xs/SchemaGrammar.java,org.apache.xerces.impl.xs.SchemaGrammar,class,41,71,30,41,89,5,4,22,1081,0.9487802,0.04897959,0.29142857,50,4,37,0,1,12,50,0,20,4,41,14,5,23,0,13,14,0,25,630,40,2,18,0,0,0,34,99,15,54,2,0,4,0,237,1,0,True,False,True
/work/./src/org/apache/xerces/impl/xpath/regex/REUtil.java,org.apache.xerces.impl.xpath.regex.REUtil,class,5,13,8,5,103,1,0,30,118,0.875,0.0,0.0,16,15,5,1,0,10,15,0,8,0,2,2,0,0,0,2,2,0,8,249,14,10,42,1,20,32,62,64,22,34,5,0,0,0,107,17,0,False,False,False
/work/./src/org/apache/xerces/parsers/SecuritySupport.java,org.apache.xerces.parsers.SecuritySupport$Anonymous1,anonymous,0,0,0,0,2,1,0,2,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,1,0,0,0,2,0,1,1,0,0,0,9,-1,0,False,False,False
/work/./src/org/apache/xerces/util/SymbolHash.java,org.apache.xerces.util.SymbolHash$Entry,innerclass,1,1,0,1,4,1,0,1,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,22,1,0,1,0,0,0,0,10,0,4,1,0,0,0,20,28,0,False,False,False
/work/./src/org/apache/xerces/util/SymbolTable.java,org.apache.xerces.util.SymbolTable,class,3,69,66,3,33,1,2,8,15,0.6333334,0.33333334,0.33333334,10,0,9,0,1,0,10,0,0,0,6,1,0,0,6,0,1,0,1,141,10,10,12,0,2,2,20,47,18,30,4,0,1,0,248,1,0,False,False,False
/work/./src/org/apache/xerces/parsers/CachingParserPool.java,org.apache.xerces.parsers.CachingParserPool,class,9,9,0,9,11,2,0,0,0,0.6904762,0.52380955,0.71428573,7,0,7,0,0,0,7,0,0,0,6,2,2,0,4,0,2,0,0,99,4,0,0,0,0,0,0,11,0,10,0,0,2,0,154,1,0,False,False,False
/work/./src/org/apache/wml/WMLElement.java,org.apache.wml.WMLElement,interface,1,37,36,1,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,0,False,False,False
/work/./src/org/apache/xerces/impl/xs/XSWildcardDecl.java,org.apache.xerces.impl.xs.XSWildcardDecl,class,7,17,10,7,113,1,0,9,116,0.7916667,0.13450292,0.14035088,20,0,15,1,0,4,19,0,0,0,6,1,5,1,0,0,1,0,5,275,40,9,60,0,20,12,42,85,1,39,4,0,0,0,129,1,0,False,False,False
/work/./src/org/apache/xerces/jaxp/validation/AbstractXMLSchema.java,org.apache.xerces.jaxp.validation.AbstractXMLSchema,class,3,7,4,3,2,2,4,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1024,0,False,False,False
/work/./src/org/apache/html/dom/HTMLBaseElementImpl.java,org.apache.html.dom.HTMLBaseElementImpl,class,3,3,0,3,5,3,0,2,10,1.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,1,0,1,0,0,1,0,0,18,2,0,0,0,0,4,1,1,0,1,0,0,0,0,29,1,0,False,False,False
/work/./src/org/apache/xerces/impl/dv/xs/SchemaDateTimeException.java,org.apache.xerces.impl.dv.xs.SchemaDateTimeException,class,0,4,4,0,2,4,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,0,0,1,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,16,1,0,False,False,False
/work/./src/org/apache/wml/WMLTimerElement.java,org.apache.wml.WMLTimerElement,interface,1,2,1,1,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,False,False,False
/work/./src/org/apache/xerces/xpointer/ElementSchemePointer.java,org.apache.xerces.xpointer.ElementSchemePointer$Anonymous1,anonymous,2,2,0,2,3,1,0,3,0,0.0,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,2,0,0,1,0,0,0,0,1,0,0,0,10,-1,0,False,False,False
/work/./src/org/apache/xerces/impl/dv/xs/TypeValidator.java,org.apache.xerces.impl.dv.xs.TypeValidator,class,2,24,22,2,14,1,18,3,45,0.9,0.0,0.0,10,2,10,0,0,0,10,2,2,0,4,4,4,0,0,0,4,0,1,31,7,0,0,0,2,0,9,4,1,4,0,0,0,0,72,1025,0,False,False,False
/work/./src/org/apache/xerces/jaxp/validation/ValidatorHandlerImpl.java,org.apache.xerces.jaxp.validation.ValidatorHandlerImpl$ResolutionForwarder,innerclass,5,5,0,5,16,1,0,18,22,0.75,0.14285715,0.14285715,8,0,7,1,0,0,7,0,0,0,2,1,0,1,1,0,1,0,0,58,7,0,7,1,1,1,1,11,0,11,3,0,0,0,81,24,0,False,False,False
/work/./src/org/apache/xerces/impl/xs/XMLSchemaLoader.java,org.apache.xerces.impl.xs.XMLSchemaLoader$LocationArray,innerclass,1,1,0,1,8,1,0,4,0,0.1,1.0,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,0,0,2,0,0,4,28,3,0,0,0,0,0,7,5,1,3,1,0,0,0,13,8,0,False,False,False
/work/./src/org/apache/xerces/impl/dv/ObjectFactory.java,org.apache.xerces.impl.dv.ObjectFactory,class,3,6,3,3,58,3,0,30,9,0.7714286,0.1,0.1,7,7,0,2,0,5,5,0,0,0,5,5,0,5,0,0,3,0,22,255,14,2,21,11,2,24,8,67,12,36,6,0,1,0,205,16,0,False,False,False
/work/./src/org/apache/xerces/dom3/as/ASModel.java,org.apache.xerces.dom3.as.ASModel,interface,9,17,8,9,20,1,0,0,190,0.0,0.0,0.0,20,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,1,0,False,False,False
/work/./src/org/apache/xerces/xpointer/XPointerPart.java,org.apache.xerces.xpointer.XPointerPart,interface,3,6,3,3,8,1,0,0,28,1.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,3,3,0,0,0,3,0,0,13,0,0,0,0,0,0,3,3,0,3,0,0,0,0,117,1,0,False,False,False
/work/./src/org/apache/html/dom/HTMLOptionElementImpl.java,org.apache.html.dom.HTMLOptionElementImpl,class,9,10,1,9,27,3,0,19,105,1.0,0.0,0.0,15,0,15,0,0,0,15,0,0,0,1,1,0,1,0,0,1,0,0,86,8,5,8,0,5,12,3,15,0,11,3,0,0,0,61,1,0,False,False,False
/work/./src/org/apache/xerces/dom/ChildNode.java,org.apache.xerces.dom.ChildNode,class,4,17,13,4,12,2,2,4,20,0.84375,0.035714287,0.035714287,8,0,5,0,1,2,8,0,2,0,4,1,0,0,2,2,1,0,0,33,6,0,0,0,0,0,1,5,0,5,0,0,0,0,139,1025,0,False,False,False
/work/./src/org/apache/xerces/dom3/as/DOMASException.java,org.apache.xerces.dom3.as.DOMASException,class,0,0,0,0,1,4,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,5,4,5,0,0,0,4,0,0,11,0,0,0,0,0,0,4,5,0,5,0,0,0,0,75,1,0,False,False,False
/work/./src/org/apache/xerces/impl/XML11NSDocumentScannerImpl.java,org.apache.xerces.impl.XML11NSDocumentScannerImpl$NS11ContentDispatcher,innerclass,7,7,0,7,12,3,0,13,1,0.0,,,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,3,0,1,0,0,5,0,2,2,0,0,0,112,20,0,False,False,False
/work/./src/org/apache/html/dom/HTMLDirectoryElementImpl.java,org.apache.html.dom.HTMLDirectoryElementImpl,class,3,3,0,3,3,3,0,2,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,12,1,0,0,0,0,2,1,1,0,1,0,0,0,0,29,1,0,False,False,False
/work/./src/org/apache/xerces/util/MessageFormatter.java,org.apache.xerces.util.MessageFormatter,interface,0,8,8,0,1,1,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0,False,False,False
/work/./src/org/apache/xerces/impl/xs/XSLoaderImpl.java,org.apache.xerces.impl.xs.XSLoaderImpl$XSGrammarMerger,innerclass,15,15,0,15,24,3,0,30,28,0.0,0.0,0.0,8,0,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,86,5,7,8,0,1,0,8,29,0,18,2,0,0,0,71,26,0,False,False,False
/work/./src/org/apache/xerces/jaxp/SchemaValidatorConfiguration.java,org.apache.xerces.jaxp.SchemaValidatorConfiguration,class,6,8,2,6,11,1,0,6,0,0.5151515,1.0,1.0,3,0,3,0,0,0,3,0,0,0,11,7,0,11,0,0,11,0,0,48,7,0,1,1,0,0,0,12,7,12,2,0,0,0,86,16,0,False,False,False
/work/./src/org/apache/xerces/impl/xpath/regex/Token.java,org.apache.xerces.impl.xpath.regex.Token$ParenToken,innerclass,1,1,0,1,12,2,0,1,0,0.59999996,0.5,0.6,5,0,1,0,0,4,5,0,0,0,3,1,0,1,0,2,1,0,0,48,4,0,1,0,0,14,3,11,7,4,2,0,0,0,30,8,0,False,False,False
/work/./src/org/apache/wml/WMLDoElement.java,org.apache.wml.WMLDoElement,interface,1,2,1,1,10,1,0,0,45,0.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,False,False,False
/work/./src/org/apache/xerces/impl/xpath/regex/Op.java,org.apache.xerces.impl.xpath.regex.Op$RangeOp,innerclass,3,3,0,3,2,2,0,0,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,8,0,False,False,False
/work/./src/org/apache/xerces/xs/datatypes/ObjectList.java,org.apache.xerces.xs.datatypes.ObjectList,interface,0,3,3,0,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,0,False,False,False
